experiment,n_features,auc_oof,delta_vs_full
full,32,0.7953778464261104,0.0
no_nominal_lexical_downstream,26,0.7843731076029987,-0.011004738823111704
no_lexical_block,26,0.7813229486416504,-0.014054897784460008
no_length_block,28,0.7810664701183988,-0.01431137630771162
no_emotion_block,25,0.7789369753492452,-0.016440871076865204
no_p1,31,0.7731903594771242,-0.0221874869489862
no_syntax_block,28,0.7688907747603834,-0.026487071665727058
no_readability_block,22,0.7624566771596817,-0.03292116926642874
residualized_without_p1,31,0.7066737468416546,-0.0887040995844558
p1_only,1,0.656686194246069,-0.13869165218004142
